Sample,Species,Tissue,Slice,Location,Thickness
PACU111,PACU,Connecting,3,0.47,223.79
PACU111,PACU,Connecting,3,0.47,373.78
PVAR35,PVAR,Colony,1,-0.33,1426.25
PVAR35,PVAR,Colony,1,-0.33,1378.44
PVAR35,PVAR,Colony,1,-0.33,904.91
PVAR35,PVAR,Colony,2,0.05,1362.7
PVAR35,PVAR,Colony,2,0.05,1474.13
PVAR35,PVAR,Colony,2,0.05,1216.36
PVAR35,PVAR,Colony,3,0.48,1220.31
PVAR35,PVAR,Colony,3,0.48,1179.17
PVAR35,PVAR,Colony,3,0.48,1023.68
PVAR84,PVAR,Colony,1,0.36,894.7
PVAR84,PVAR,Colony,1,0.36,719.3
PVAR84,PVAR,Colony,1,0.36,1371.99
PVAR84,PVAR,Colony,2,-0.01,629.92
PVAR84,PVAR,Colony,2,-0.01,1275.04
PVAR84,PVAR,Colony,2,-0.01,986.18
PVAR84,PVAR,Colony,3,-0.24,1026.33
PVAR84,PVAR,Colony,3,-0.24,954.39
PVAR84,PVAR,Colony,3,-0.24,1177.21
PVAR148,PVAR,Colony,1,-0.03,736.82
PVAR148,PVAR,Colony,1,-0.03,753.67
PVAR148,PVAR,Colony,1,-0.03,879.41
PVAR148,PVAR,Colony,2,0.16,797.91
PVAR148,PVAR,Colony,2,0.16,830.4
PVAR148,PVAR,Colony,2,0.16,833.69
PVAR148,PVAR,Colony,3,0.32,654.65
PVAR148,PVAR,Colony,3,0.32,819.39
PVAR148,PVAR,Colony,3,0.32,792.73
PVAR208,PVAR,Colony,1,0.47,935.32
PVAR208,PVAR,Colony,1,0.47,1028.56
PVAR208,PVAR,Colony,1,0.47,827.46
PVAR208,PVAR,Colony,2,0.12,1009.6
PVAR208,PVAR,Colony,2,0.12,870.8
PVAR208,PVAR,Colony,2,0.12,1067.8
PVAR208,PVAR,Colony,3,-0.36,718.78
PVAR208,PVAR,Colony,3,-0.36,841.49
PVAR208,PVAR,Colony,3,-0.36,1047.5
PVAR1104,PVAR,Colony,1,0.46,872.89
PVAR1104,PVAR,Colony,1,0.46,896.31
PVAR1104,PVAR,Colony,1,0.46,743.44
PVAR1104,PVAR,Colony,2,-0.03,1582.38
PVAR1104,PVAR,Colony,2,-0.03,1072.39
PVAR1104,PVAR,Colony,2,-0.03,978.61
PVAR1104,PVAR,Colony,3,-0.25,1541.92
PVAR1104,PVAR,Colony,3,-0.25,1671.59
PVAR1104,PVAR,Colony,3,-0.25,1260.52
PVAR1982,PVAR,Colony,1,0.58,1183.52
PVAR1982,PVAR,Colony,1,0.58,1459.87
PVAR1982,PVAR,Colony,1,0.58,1654.26
PVAR1982,PVAR,Colony,2,0.2,1580.01
PVAR1982,PVAR,Colony,2,0.2,984.11
PVAR1982,PVAR,Colony,2,0.2,1764.45
PVAR1982,PVAR,Colony,3,-0.41,1210.93
PVAR1982,PVAR,Colony,3,-0.41,1103.56
PVAR1982,PVAR,Colony,3,-0.41,2250.65
