Day,Timepoint,Sample,Colony,Treatment,Species,LifeStage,Location,Thickness
14,Final,10a,10,Ambient,Pocillopora acuta,Adult,0,988.72
14,Final,10a,10,Ambient,Pocillopora acuta,Adult,0,961
14,Final,10a,10,Ambient,Pocillopora acuta,Adult,0,1002.45
0,Initial,10a,10,Ambient,Pocillopora acuta,Adult,0.19,837.08
0,Initial,10a,10,Ambient,Pocillopora acuta,Adult,0.19,762.79
0,Initial,10a,10,Ambient,Pocillopora acuta,Adult,0.19,580.62
0,Initial,10b,10,High,Pocillopora acuta,Adult,0,679.79
0,Initial,10b,10,High,Pocillopora acuta,Adult,0,747.46
0,Initial,10b,10,High,Pocillopora acuta,Adult,0,564.34
14,Final,10b,10,High,Pocillopora acuta,Adult,0,627.73
14,Final,10b,10,High,Pocillopora acuta,Adult,0,575.78
14,Final,10b,10,High,Pocillopora acuta,Adult,0,442.61
0,Initial,11a,11,Ambient,Pocillopora acuta,Adult,0,627.95
0,Initial,11a,11,Ambient,Pocillopora acuta,Adult,0,619.94
0,Initial,11a,11,Ambient,Pocillopora acuta,Adult,0,412.18
14,Final,11a,11,Ambient,Pocillopora acuta,Adult,0,617.52
14,Final,11a,11,Ambient,Pocillopora acuta,Adult,0,575.2
14,Final,11a,11,Ambient,Pocillopora acuta,Adult,0,531.62
0,Initial,11b,11,High,Pocillopora acuta,Adult,0.06,873.54
0,Initial,11b,11,High,Pocillopora acuta,Adult,0.06,877.09
0,Initial,11b,11,High,Pocillopora acuta,Adult,0.06,707.13
14,Final,11b,11,High,Pocillopora acuta,Adult,0,616.27
14,Final,11b,11,High,Pocillopora acuta,Adult,0,783.71
14,Final,11b,11,High,Pocillopora acuta,Adult,0,676.64
0,Initial,12a,12,Ambient,Pocillopora acuta,Adult,0,855.04
0,Initial,12a,12,Ambient,Pocillopora acuta,Adult,0,695.59
0,Initial,12a,12,Ambient,Pocillopora acuta,Adult,0,676
14,Final,12a,12,Ambient,Pocillopora acuta,Adult,0,859
14,Final,12a,12,Ambient,Pocillopora acuta,Adult,0,798.7
14,Final,12a,12,Ambient,Pocillopora acuta,Adult,0,731.85
0,Initial,12b,12,High,Pocillopora acuta,Adult,0,1170.25
0,Initial,12b,12,High,Pocillopora acuta,Adult,0,1065.59
0,Initial,12b,12,High,Pocillopora acuta,Adult,0,819.54
14,Final,12b,12,High,Pocillopora acuta,Adult,0,868.19
14,Final,12b,12,High,Pocillopora acuta,Adult,0,738.56
14,Final,12b,12,High,Pocillopora acuta,Adult,0,249.58
0,Initial,13a,13,Ambient,Pocillopora acuta,Adult,0,855.19
0,Initial,13a,13,Ambient,Pocillopora acuta,Adult,0,527.05
0,Initial,13a,13,Ambient,Pocillopora acuta,Adult,0,632.27
14,Final,13a,13,Ambient,Pocillopora acuta,Adult,0,771.98
14,Final,13a,13,Ambient,Pocillopora acuta,Adult,0,571.96
14,Final,13a,13,Ambient,Pocillopora acuta,Adult,0,592.4
0,Initial,13b,13,High,Pocillopora acuta,Adult,0,692.18
0,Initial,13b,13,High,Pocillopora acuta,Adult,0,765.77
0,Initial,13b,13,High,Pocillopora acuta,Adult,0,485.83
14,Final,13b,13,High,Pocillopora acuta,Adult,0,593.36
14,Final,13b,13,High,Pocillopora acuta,Adult,0,502.61
14,Final,13b,13,High,Pocillopora acuta,Adult,0,419.5
0,Initial,14a,14,Ambient,Pocillopora acuta,Adult,0,782.22
0,Initial,14a,14,Ambient,Pocillopora acuta,Adult,0,767.86
0,Initial,14a,14,Ambient,Pocillopora acuta,Adult,0,860.64
14,Final,14a,14,Ambient,Pocillopora acuta,Adult,0,762.57
14,Final,14a,14,Ambient,Pocillopora acuta,Adult,0,789.77
14,Final,14a,14,Ambient,Pocillopora acuta,Adult,0,848.02
0,Initial,14b,14,High,Pocillopora acuta,Adult,0,818.9
0,Initial,14b,14,High,Pocillopora acuta,Adult,0,590.3
0,Initial,14b,14,High,Pocillopora acuta,Adult,0,509.66
14,Final,14b,14,High,Pocillopora acuta,Adult,0,540.74
14,Final,14b,14,High,Pocillopora acuta,Adult,0,619.68
14,Final,14b,14,High,Pocillopora acuta,Adult,0,336.89
0,Initial,15a,15,Ambient,Montipora capitata,Juvenile,0,1008.59
0,Initial,15a,15,Ambient,Montipora capitata,Juvenile,0,1171
0,Initial,15a,15,Ambient,Montipora capitata,Juvenile,0,926.93
20,Final,15a,15,Ambient,Montipora capitata,Juvenile,0,1193.71
20,Final,15a,15,Ambient,Montipora capitata,Juvenile,0,1393.77
20,Final,15a,15,Ambient,Montipora capitata,Juvenile,0,1193.62
